City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
137,Saipan,15.1355,145.701,27.39,83,20,4.63,MP,1698870787
138,Hamilton,39.1834,-84.5333,9.4,47,40,2.57,US,1698870538
139,Fisterra,42.9049,-9.2629,18.34,88,100,18.46,ES,1698870787
140,Minas De Marcona,-15.2119,-75.1103,19.4,56,13,6.95,PE,1698870788
141,Namtsy,62.7161,129.6658,-15.83,91,100,3.01,RU,1698870788
142,Yankton,42.8711,-97.3973,12.29,37,0,4.63,US,1698870788
143,Aykhal,66.0,111.5,-24.37,100,97,3.15,RU,1698870788
144,Miri,4.4148,114.0089,26.08,94,40,2.57,MY,1698870789
145,Manfalut,27.3104,30.97,23.14,46,0,3.79,EG,1698870789
146,Lubuklinggau,-3.3,102.8667,23.45,94,94,0.51,ID,1698870790
147,Bushehr,28.9684,50.8385,25.05,73,65,0.0,IR,1698870790
148,Toktogul,41.8708,72.9402,9.39,52,10,2.1,KG,1698870790
149,Dryden,49.7833,-92.7503,-2.84,86,100,3.6,CA,1698870790
150,Pierre,44.3683,-100.351,10.48,47,0,6.69,US,1698870791
151,Nalhati,24.3,87.8167,22.97,67,52,1.57,IN,1698870791
152,Pisco,-13.7,-76.2167,21.03,78,40,4.12,PE,1698870791
153,Timimoun,29.2639,0.231,30.21,14,0,4.12,DZ,1698870791
154,Kegen,43.0197,79.2203,1.28,82,100,0.48,KZ,1698870792
155,Sao Vicente,-23.9631,-46.3919,23.1,59,100,0.89,BR,1698870532
156,Mount Gambier,-37.8333,140.7667,9.66,87,19,1.33,AU,1698870792
157,Grande Prairie,55.1667,-118.8027,5.1,60,75,1.54,CA,1698870664
158,Dudinka,69.4058,86.1778,-14.1,97,100,0.89,RU,1698870793
159,Champerico,14.3,-91.9167,28.3,87,100,4.82,GT,1698870793
160,Malacacheta,-17.8422,-42.0767,23.38,74,96,1.28,BR,1698870793
161,Georgetown,5.4112,100.3354,25.01,97,20,1.54,MY,1698870794
162,La Ronge,55.1001,-105.2842,-1.86,80,100,4.63,CA,1698870794
163,Nam Som,17.7704,102.1895,24.68,91,98,0.98,TH,1698870794
164,Antalaha,-14.9003,50.2788,22.11,82,5,1.92,MG,1698870794
165,Saint-Philippe,-21.3585,55.7679,21.73,83,100,4.54,RE,1698870795
166,Iskateley,67.6803,53.1512,-10.55,97,24,2.68,RU,1698870795
167,Afaahiti,-17.75,-149.2833,27.93,83,95,10.53,PF,1698870795
168,Antsirabe,-19.85,47.0333,16.67,89,100,1.27,MG,1698870795
169,El Calafate,-50.3408,-72.2768,11.88,42,4,4.02,AR,1698870796
170,Basco,20.4487,121.9702,27.15,76,100,10.6,PH,1698870796
171,Gaigeturi,33.4644,126.3183,14.03,54,0,1.54,KR,1698870796
172,Howard Springs,-12.497,131.047,27.95,87,42,1.24,AU,1698870796
173,Harstad,68.799,16.5293,-1.03,94,6,2.68,NO,1698870797
174,Hithadhoo,-0.6,73.0833,27.18,81,98,6.47,MV,1698870797
175,Tinambac,13.8164,123.3261,25.43,92,100,1.5,PH,1698870797
176,Walvis Bay,-22.9575,14.5053,16.72,77,33,1.54,NA,1698870797
177,Cheongsong Gun,36.4335,129.057,13.02,90,0,1.97,KR,1698870798
178,Guixi,28.2886,117.2133,16.39,72,0,1.89,CN,1698870798
179,Fortuna,40.5982,-124.1573,21.63,49,40,1.54,US,1698870608
180,North Bend,43.4065,-124.2243,16.15,82,100,3.09,US,1698870799
181,Kruisfontein,-34.0033,24.7314,15.81,81,100,4.36,ZA,1698870799
182,Nova Sintra,14.8667,-24.7167,24.22,79,75,5.83,CV,1698870800
183,Constantia,44.1833,28.65,13.38,64,5,4.66,RO,1698870801
184,Buka,40.8108,69.1986,9.8,59,0,1.51,UZ,1698870801
185,Keetmanshoop,-26.5833,18.1333,25.51,19,24,3.09,NA,1698870801
186,Dravograd,46.5881,15.0192,13.03,97,100,1.48,SI,1698870801
187,Weihai,37.5017,122.1136,18.28,75,1,4.65,CN,1698870645
188,Tura,25.5198,90.2201,19.73,85,24,1.28,IN,1698870802
189,Alice Springs,-23.7,133.8833,20.75,60,100,4.63,AU,1698870592
190,Lerwick,60.1545,-1.1494,8.0,96,100,17.85,GB,1698870803
191,Mahina,-17.5065,-149.489,28.87,70,75,3.6,PF,1698870803
192,Tarawa,1.419,172.984,26.05,94,100,1.54,KI,1698870803
193,Traralgon,-38.1833,146.5333,10.9,78,25,1.78,AU,1698870803
194,Ojinaga,29.5667,-104.4167,19.12,26,2,1.43,MX,1698870804
195,Norfolk,42.1668,-71.2495,7.51,75,100,0.89,US,1698870797
196,Zhanaozen,43.3,52.8,11.87,32,35,8.39,KZ,1698870804
197,Lorengau,-2.0226,147.2712,26.79,80,73,3.05,PG,1698870578
198,Manati,18.4275,-66.4921,31.72,81,37,4.06,PR,1698870805
199,Filadelfia,39.9523,-75.1638,10.34,43,75,6.69,US,1698870759
200,Illizi,26.4833,8.4667,23.89,20,0,4.78,DZ,1698870805
201,Tintafor,8.6267,-13.215,28.09,74,40,3.09,SL,1698870805
202,Calibutbut,15.1114,120.6053,25.43,83,40,2.06,PH,1698870806
203,Kupiskis,55.8333,24.9667,5.07,76,82,3.34,LT,1698870806
204,Vilyuchinsk,52.9306,158.4028,2.18,98,100,1.55,RU,1698870806
205,Ebaye,8.7748,167.7392,28.01,83,0,4.12,MH,1698870807
206,Shagonar,51.5333,92.8,1.83,74,100,1.18,RU,1698870807
207,Ancud,-41.8697,-73.8203,13.71,57,41,3.17,CL,1698870807
208,Toliara,-23.35,43.6667,24.07,80,54,7.39,MG,1698870807
209,Olonkinbyen,70.9221,-8.7187,0.75,80,100,2.0,SJ,1698870807
210,Tsaratanana,-16.7833,47.65,25.67,70,47,2.2,MG,1698870883
211,Sebeta,8.9167,38.6167,13.02,65,97,0.63,ET,1698870883
212,Tlahualilo De Zaragoza,26.1167,-103.45,15.81,37,25,3.85,MX,1698870883
213,Xichang,27.8964,102.2634,12.35,89,9,0.32,CN,1698870883
214,Ekibastuz,51.6667,75.3667,0.73,78,100,7.27,KZ,1698870884
215,Qaryat Suluq,31.6682,20.2521,22.16,45,81,1.61,LY,1698870884
216,Hakkari,37.5833,44.1667,9.88,76,75,3.09,TR,1698870884
217,Maumere,-8.6199,122.2111,26.44,83,100,2.18,ID,1698870661
218,Farrukhnagar,17.0778,78.2011,20.84,76,84,3.03,IN,1698870884
219,Sainte-Agathe-Des-Monts,46.0501,-74.2825,1.12,58,100,1.96,CA,1698870666
220,Siverek,37.755,39.3167,18.72,38,61,1.69,TR,1698870885
221,Sujiatun,41.6592,123.3392,3.1,87,10,1.0,CN,1698870885
222,Betio Village,1.358,172.9211,26.02,75,60,3.07,KI,1698870885
223,San Antonio,29.4241,-98.4936,19.32,33,0,3.09,US,1698870810
224,Palapag,12.5458,125.1147,25.54,91,91,2.08,PH,1698870885
225,Kodiak,57.79,-152.4072,7.73,100,100,7.72,US,1698870886
226,Manggar,-2.8833,108.2667,26.84,85,100,2.23,ID,1698870886
227,Baardheere,2.3446,42.2764,26.11,82,100,4.06,SO,1698870886
228,Vorgashor,67.5833,63.95,-17.02,100,91,1.64,RU,1698870886
229,Sovetsk,55.0839,21.8785,4.87,78,71,2.85,RU,1698870886
230,Rio Grande,-32.035,-52.0986,20.06,84,100,9.17,BR,1698870887
231,Taoudenni,22.6783,-3.9836,32.23,11,50,4.81,ML,1698870887
232,Petite Riviere,-20.1894,57.4453,24.86,84,42,4.3,MU,1698870887
233,La'Ie,21.6477,-157.9253,30.03,79,3,2.24,US,1698870887
234,Remire-Montjoly,4.9167,-52.2667,30.02,74,0,5.14,GF,1698870887
235,Carbonear,47.7332,-53.2148,7.41,85,100,5.36,CA,1698870887
236,Cidreira,-30.1811,-50.2056,18.31,83,100,7.64,BR,1698870888
237,Sao Francisco De Assis,-29.5503,-55.1311,21.12,86,100,7.37,BR,1698870888
238,Cambria,35.5641,-121.0808,27.65,44,5,2.68,US,1698870888
239,Zaysan,47.4667,84.8667,4.58,80,100,3.93,KZ,1698870888
240,Arraial Do Cabo,-22.9661,-42.0278,24.92,88,75,6.69,BR,1698870888
